Movie Name,Year,Director,Link,Rating
Into the Wild,2007,Sean Penn ,imdb.com/title/tt0758758/,8.1
Hachi: A Dog's Tale,2009,Lasse Hallström ,imdb.com/title/tt1028532/,8.1
Life of Brian,1979,Terry Jones ,imdb.com/title/tt0079470/,8.1
Ben-Hur,1959,William Wyler ,imdb.com/title/tt0052618/,8.1
Platoon,1986,Oliver Stone ,imdb.com/title/tt0091763/,8.1
Rush,2013,Ron Howard ,imdb.com/title/tt1979320/,8.1
Dead Poets Society,1989,Peter Weir ,imdb.com/title/tt0097165/,8.0
Harry Potter and the Deathly Hallows: Part 2,2011,David Yates ,imdb.com/title/tt1201607/,8.0
Logan,2017,James Mangold ,imdb.com/title/tt3315342/,8.0
Andrei Rublev,1966,Andrei Tarkovsky ,imdb.com/title/tt0060107/,8.0
La passion de Jeanne d'Arc,1928,Carl Theodor Dreyer ,imdb.com/title/tt0019254/,8.0
Les quatre cents coups,1959,François Truffaut ,imdb.com/title/tt0053198/,8.0
Hotel Rwanda,2004,Terry George ,imdb.com/title/tt0395169/,8.0
Ah-ga-ssi,2016,Chan-wook Park ,imdb.com/title/tt4016934/,8.0
Amores perros,2000,Alejandro G. Iñárritu ,imdb.com/title/tt0245712/,8.0
Spotlight,2015,Tom McCarthy ,imdb.com/title/tt1895587/,8.0
Rang De Basanti,2006,Rakeysh Omprakash Mehra ,imdb.com/title/tt0405508/,8.0
Kaze no tani no Naushika,1984,Hayao Miyazaki ,imdb.com/title/tt0087544/,8.0
Rocky,1976,John G. Avildsen ,imdb.com/title/tt0075148/,8.0
Rebecca,1940,Alfred Hitchcock ,imdb.com/title/tt0032976/,8.0
La haine,1995,Mathieu Kassovitz ,imdb.com/title/tt0113247/,8.0
"Monsters, Inc.",2001,Pete Docter ,imdb.com/title/tt0198781/,8.0
Portrait de la jeune fille en feu,2019,Céline Sciamma ,imdb.com/title/tt8613070/,8.0
It Happened One Night,1934,Frank Capra ,imdb.com/title/tt0025316/,8.0
Gangs of Wasseypur,2012,Anurag Kashyap ,imdb.com/title/tt1954470/,8.0
Fa yeung nin wah,2000,Kar-Wai Wong ,imdb.com/title/tt0118694/,8.0
Before Sunset,2004,Richard Linklater ,imdb.com/title/tt0381681/,8.0
"Paris, Texas",1984,Wim Wenders ,imdb.com/title/tt0087884/,8.0
The Help,2011,Tate Taylor ,imdb.com/title/tt1454029/,8.0
Contratiempo,2016,Oriol Paulo ,imdb.com/title/tt4857264/,8.0
The Princess Bride,1987,Rob Reiner ,imdb.com/title/tt0093779/,8.0
Drishyam,2015,Nishikant Kamat ,imdb.com/title/tt4430212/,8.0
The Terminator,1984,James Cameron ,imdb.com/title/tt0088247/,8.0
Mandariinid,2013,Zaza Urushadze ,imdb.com/title/tt2991224/,8.0
Fanny och Alexander,1982,Ingmar Bergman ,imdb.com/title/tt0083922/,8.0
Kumonosu-jô,1957,Akira Kurosawa ,imdb.com/title/tt0050613/,8.0
Aladdin,1992,Ron Clements ,imdb.com/title/tt0103639/,8.0
Hera Pheri,2000,Priyadarshan ,imdb.com/title/tt0242519/,8.0
Trois couleurs: Rouge,1994,Krzysztof Kieslowski ,imdb.com/title/tt0111495/,8.0
La battaglia di Algeri,1966,Gillo Pontecorvo ,imdb.com/title/tt0058946/,8.0
Butch Cassidy and the Sundance Kid,1969,George Roy Hill ,imdb.com/title/tt0064115/,8.0
